"Ghostbusters: Afterlife,Arcane,Hellbound"
"Red Notice,Hawkeye,Last Night in Soho"
"The Great,Cowboy Bebop,Resident Evil: Welcome to Raccoon City"
"Encanto,Ghostbusters: Afterlife,Yellowjackets"
"Ted Lasso,Spider-Man: No Way Home,The Walking Dead"
"Jungle Cruise,Dune,Black Friday"
"The French Dispatch,Shang-Chi and the Legend of the Ten Rings,Midnight Mass"
"The Sex Lives of College Girls,Eternals,Stranger Things"
"Seinfeld,Venom: Let There Be Carnage,American Horror Story"
"Ghostbusters,Resident Evil: Welcome to Raccoon City,Chucky"
"8-Bit Christmas,Foundation,Locke & Key"
"The Office,The Matrix Resurrections,Supernatural"
"Cowboy Bebop,Doctor Who,What We Do in the Shadows"
"Free Guy,Ghostbusters,Fear the Walking Dead"
"Love Hard,Cowboy Bebop,Old"
"Don't Look Up,Free Guy,Attack on Titan"
"Home Sweet Home Alone,Finch,The Vampire Diaries"
"Black Friday,Don't Look Up,Titane"
"Curb Your Enthusiasm,Star Trek: Discovery,Army of the Dead"
"Army of Thieves,Stranger Things,Legacies"
"Home Alone,The Mandalorian,Silent Night"
"Big Mouth,The Flash,Malignant"
"Sex Education,Dune,The Walking Dead: World Beyond"
"Friends,Invasion,The Black Phone"
"Christmas Vacation,Black Widow,Midsommar"
"Planes, Trains & Automobiles,Jurassic World: Dominion,Halloween Kills"
"Clifford the Big Red Dog,DC League of Super-Pets,Doctor Sleep"
"Sing 2,The Suicide Squad,Chhorii"
"DC League of Super-Pets,The Expanse,Antlers"
"Young Sheldon,The Boys,The Haunting of Hill House"
"The Suicide Squad,Masters of the Universe: Revelation,The Originals"
"Licorice Pizza,Black Mirror,In the Dark"
"The Big Bang Theory,Venom,American Psycho"
"Castle,Fear the Walking Dead,Candyman"
"It's Always Sunny in Philadelphia,Spider-Man,Lamb"
"South Park,La Brea,The Feast"
"Only Murders in the Building,Loki,Hypnotic"
"Modern Family,Avengers: Endgame,Dracula"
"Shameless,The Matrix,The Hunt"
"Masters of the Universe: Revelation,Titane,Scream"
"What We Do in the Shadows,Army of the Dead,A Quiet Place Part II"
"Brooklyn Nine-Nine,The Handmaid's Tale,Alien"
"Dhindora,Westworld,A House on the Bayou"
"The Princess Switch 3,Rick and Morty,The Night House"
"Love Actually,Ghostbusters II,Doctor Strange in the Multiverse of Madness"
"A Castle for Christmas,What If...?,The Trip"
"The Simpsons,Spider-Man: Homecoming,The Deep House"
"Suits,Interstellar,Hereditary"
"Cruella,See,The Lighthouse"
"One Piece,DC's Legends of Tomorrow,I Know What You Did Last Summer"
"Pam & Tommy,The Wheel of Time,Red Notice"
"You,Arcane,Hellbound"
"The French Dispatch,Hawkeye,No Time to Die"
"Grey's Anatomy,Cowboy Bebop,Last Night in Soho"
"Love Hard,Red Notice,Venom: Let There Be Carnage"
"The Power of the Dog,Spider-Man: No Way Home,True Story"
"Big Mouth,Dune,Squid Game"
"Friends,Shang-Chi and the Legend of the Ten Rings,You"
"Licorice Pizza,No Time to Die,Yellowjackets"
"The Big Bang Theory,Eternals,Dexter"
"Castle,Venom: Let There Be Carnage,Mayor of Kingstown"
"West Side Story,Resident Evil: Welcome to Raccoon City,The Last Duel"
"Downton Abbey,Squid Game,The Walking Dead"
"Vikings,Game of Thrones,Dhamaka"
"Outlander,The Matrix Resurrections,Nightmare Alley"
"Riverdale,Jungle Cruise,Army of Thieves"
"Modern Family,The Harder They Fall,Breaking Bad"
"365 Days,Ghostbusters,The Blacklist"
"The Princess Switch 3,The Last Duel,Stranger Things"
"Love Actually,Cowboy Bebop,American Horror Story"
"A Castle for Christmas,Free Guy,The Lost Symbol"
"The Vampire Diaries,Hanna,The Sinner"
"How I Met Your Mother,Nightmare Alley,Chucky"
"Elf,Home Sweet Home Alone,NCIS"
"The Holiday,The Witcher,Locke & Key"
"Gossip Girl,Army of Thieves,Jurassic World: Dominion"
"Bones,Star Trek: Discovery,Money Heist"
"This Is Us,The Lost Symbol,Supernatural"
"Titanic,The Mandalorian,Criminal Minds"
"Love,The Flash,Law & Order: Special Victims Unit"
"ER,Dune,Only Murders in the Building"
"The King,NCIS,Black Mirror"
"Benedetta,Black Widow,Fear the Walking Dead"
"Emily in Paris,Jurassic World: Dominion,Old"
"Rent,DC League of Super-Pets,The Wire"
"Two and a Half Men,The Suicide Squad,Ozark"
"After We Fell,Money Heist,The Vampire Diaries"
"Little Women,The Batman,Titane"
"Dickinson,Vikings,Army of the Dead"
"Sex and the City,The Boys,The Little Things"
"Pride & Prejudice,Chicago Fire,The Handmaid's Tale"
"Bridgerton,Masters of the Universe: Revelation,Nocturnal Animals"
"Buffy the Vampire Slayer,Venom,9-1-1"
"A Kiss Before Christmas,Spider-Man,Spectre"
"Station 19,Attack on Titan,True Detective"
"Love Life,Loki,Fargo"
"Bunty Aur Babli 2,Avengers: Endgame,Knives Out"
"Once Upon a Time,The Matrix,Mr. Robot"
"Annette,One Piece,Zeros and Ones"
"Five More Minutes,Army of the Dead,Big Sky"
"The Wheel of Time,Hawkeye,Hawkeye"
"Arcane,Hellbound,Cowboy Bebop"
"Hawkeye,Dexter: New Blood,House of Gucci"
"Cowboy Bebop,Last Night in Soho,Red Notice"
"House of Gucci,Squid Game,Hellbound"
"Yellowstone,Yellowjackets,Dexter: New Blood"
"tick, tick...BOOM!,Dexter,True Story"
"Hellbound,Doctor Who,Jai Bhim"
"Succession,The Witcher,You"
"Dune,The Blacklist,Dexter"
"Dexter: New Blood,Midnight Mass,Mayor of Kingstown"
"Last Night in Soho,Stranger Things,Narcos: Mexico"
"King Richard,The Lost Symbol,Dhamaka"
"The Great,The Sinner,Nightmare Alley"
"True Story,Chucky,Army of Thieves"
"Pam & Tommy,NCIS,Peaky Blinders"
"Spencer,Locke & Key,The Sopranos"
"Dopesick,Money Heist,Breaking Bad"
"Squid Game,Supernatural,The Blacklist"
"Game of Thrones,Criminal Minds,The Sinner"
"Foundation,Castle,NCIS"
"Jai Bhim,Law & Order: Special Victims Unit,DC League of Super-Pets"
"You,The Batman,Money Heist"
"Yellowjackets,The Expanse,Criminal Minds"
"Dexter,Only Murders in the Building,Castle"
"Ted Lasso,Riverdale,West Side Story"
"Mayor of Kingstown,Shetland,Law & Order: Special Victims Unit"
"The Morning Show,La Brea,The Batman"
"Doctor Who,Old,Tiger King"
"Bruised,The Vampire Diaries,Lucifer"
"The Humans,Legacies,The Boys"
"The Harder They Fall,The Little Things,Only Murders in the Building"
"The French Dispatch,Dalgliesh,Riverdale"
"The Last Duel,Westworld,Better Call Saul"
"Narcos: Mexico,Midsomer Murders,American Crime Story"
"The Walking Dead,House M.D.,Shetland"
"Cowboy Bebop,CSI: Vegas,Brooklyn Nine-Nine"
"Grey's Anatomy,True Detective,The Rookie"
"Dhamaka,Knives Out,The Wire"
"A Boy Called Christmas,Bones,The Godfather"
"Hanna,Big Sky,Ozark"
"Maid,Lost,Cruella"
"Finch,The X-Files,Army of the Dead"
"Nightmare Alley,Doom Patrol,The Little Things"
"Don't Look Up,Star Trek: The Next Generation,Dalgliesh"
"Euphoria,Blue Bloods,Midsomer Murders"
"The Witcher,The Chestnut Man,Antim: The Final Truth"
"The Power of the Dog,Nine Perfect Strangers,CSI: Vegas"
"Peaky Blinders,Mare of Easttown,True Detective"
"The Sopranos,Psych 3: This Is Gus,BMF"
"Arcane,The Wheel of Time,The Wheel of Time"
"Encanto,Arcane,Arcane"
"Cowboy Bebop,Hawkeye,Cowboy Bebop"
"Big Mouth,Cowboy Bebop,Ghostbusters: Afterlife"
"Sing 2,Ghostbusters: Afterlife,Hellbound"
"DC League of Super-Pets,Red Notice,Shang-Chi and the Legend of the Ten Rings"
"South Park,Spider-Man: No Way Home,Eternals"
"Masters of the Universe: Revelation,Dune,Encanto"
"Attack on Titan,Shang-Chi and the Legend of the Ten Rings,Game of Thrones"
"The Simpsons,No Time to Die,Jungle Cruise"
"One Piece,Eternals,Ghostbusters"
"Rick and Morty,Venom: Let There Be Carnage,8-Bit Christmas"
"What If...?,Encanto,Free Guy"
"Family Guy,Game of Thrones,A Boy Called Christmas"
"F Is for Family,Jungle Cruise,The Witcher"
"Extinct,Doctor Who,Midnight Mass"
"Hit-Monkey,Cowboy Bebop,Stranger Things"
"Inside Job,Free Guy,The Mandalorian"
"Demon Slayer: Kimetsu no Yaiba,A Boy Called Christmas,Invasion"
"Bob's Burgers,Finch,Clifford the Big Red Dog"
"Cowboy Bebop: The Movie,The Witcher,Locke & Key"
"Spider-Man: Into the Spider-Verse,Star Trek: Discovery,DC League of Super-Pets"
"Sing,The Lost Symbol,Supernatural"
